#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"505","Slot 3","Clearing","Cleared","Port 2 Ethernet down","Tue 26-May-2015  15:55:08.3 (GMT-06:00)","SYS",""
"506","Slot 1","Raising","Major","Demodulator not locked","Tue 26-May-2015  22:58:20.6 (GMT-06:00)","SYS",""
"507","Slot 1","Clearing","Cleared","Demodulator not locked","Tue 26-May-2015  22:58:21.0 (GMT-06:00)","SYS",""
"508","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 26-May-2015  22:58:22.1 (GMT-06:00)","SYS",""
"509","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 26-May-2015  22:58:31.1 (GMT-06:00)","SYS",""
"510","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Fri 29-May-2015  15:12:17.1 (GMT-06:00)","SYS",""
"511","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Fri 29-May-2015  15:12:26.0 (GMT-06:00)","SYS",""
"512","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sun 31-May-2015  20:15:37.1 (GMT-06:00)","SYS",""
"513","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sun 31-May-2015  20:15:46.0 (GMT-06:00)","SYS",""
"514","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Mon 01-Jun-2015  03:40:31.0 (GMT-06:00)","SYS",""
"515","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Mon 01-Jun-2015  03:40:33.0 (GMT-06:00)","SYS",""
"516","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Mon 01-Jun-2015  03:40:49.0 (GMT-06:00)","SYS",""
"517","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Mon 01-Jun-2015  03:41:00.0 (GMT-06:00)","SYS",""
"518","Slot 1","Raising","Warning","ESR threshold exceeded","Mon 01-Jun-2015  03:41:23.1 (GMT-06:00)","SYS",""
"519","Slot 1","Clearing","Cleared","ESR threshold exceeded","Mon 01-Jun-2015  03:42:23.0 (GMT-06:00)","SYS",""
"520","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 02-Jun-2015  13:49:29.1 (GMT-06:00)","SYS",""
"521","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 02-Jun-2015  13:49:38.0 (GMT-06:00)","SYS",""
"522","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 02-Jun-2015  15:08:43.0 (GMT-06:00)","SYS",""
"523","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 02-Jun-2015  15:08:52.0 (GMT-06:00)","SYS",""
"524","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 03-Jun-2015  15:22:54.0 (GMT-06:00)","SYS",""
"525","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 03-Jun-2015  15:23:10.0 (GMT-06:00)","SYS",""
"526","Slot 1","Raising","Warning","ESR threshold exceeded","Wed 03-Jun-2015  15:23:24.0 (GMT-06:00)","SYS",""
"527","Slot 1","Clearing","Cleared","ESR threshold exceeded","Wed 03-Jun-2015  15:24:24.0 (GMT-06:00)","SYS",""
"528","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 04-Jun-2015  17:09:00.9 (GMT-06:00)","SYS",""
"529","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 04-Jun-2015  17:09:10.9 (GMT-06:00)","SYS",""
"530","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Fri 05-Jun-2015  22:04:11.9 (GMT-06:00)","SYS",""
"531","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Fri 05-Jun-2015  22:04:20.9 (GMT-06:00)","SYS",""
"532","Slot 1","Raising","Critical","Traffic path down","Sat 06-Jun-2015  22:59:05.5 (GMT-06:00)","SYS",""
"533","NCC","None","Informational","Event Action created","Sat 06-Jun-2015  22:59:05.7 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"534","NCC","None","Informational","Event Action accepted","Sat 06-Jun-2015  22:59:05.8 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"535","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 06-Jun-2015  22:59:05.9 (GMT-06:00)","SYS",""
"536","Slot 1","Clearing","Cleared","Traffic path down","Sat 06-Jun-2015  22:59:07.8 (GMT-06:00)","SYS",""
"537","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 06-Jun-2015  22:59:15.9 (GMT-06:00)","SYS",""
"538","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 09-Jun-2015  22:33:43.9 (GMT-06:00)","SYS",""
"539","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 09-Jun-2015  22:33:52.9 (GMT-06:00)","SYS",""
"540","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 10-Jun-2015  21:44:16.0 (GMT-06:00)","SYS",""
"541","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 10-Jun-2015  21:44:25.9 (GMT-06:00)","SYS",""
"542","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 11-Jun-2015  14:07:23.9 (GMT-06:00)","SYS",""
"543","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 11-Jun-2015  14:07:32.9 (GMT-06:00)","SYS",""
"544","Slot 1","Raising","Major","Demodulator not locked","Thu 18-Jun-2015  16:41:37.1 (GMT-06:00)","SYS",""
"545","Slot 1","Clearing","Cleared","Demodulator not locked","Thu 18-Jun-2015  16:41:37.3 (GMT-06:00)","SYS",""
"546","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 18-Jun-2015  16:41:37.9 (GMT-06:00)","SYS",""
"547","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 18-Jun-2015  16:41:46.9 (GMT-06:00)","SYS",""
"548","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Fri 19-Jun-2015  15:34:00.9 (GMT-06:00)","SYS",""
"549","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Fri 19-Jun-2015  15:34:08.9 (GMT-06:00)","SYS",""
"550","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 23-Jun-2015  22:16:03.9 (GMT-06:00)","SYS",""
"551","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 23-Jun-2015  22:16:12.9 (GMT-06:00)","SYS",""
"552","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 25-Jun-2015  13:50:55.7 (GMT-06:00)","SYS",""
"553","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 25-Jun-2015  13:51:04.7 (GMT-06:00)","SYS",""
"554","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sun 28-Jun-2015  14:39:32.8 (GMT-06:00)","SYS",""
"555","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sun 28-Jun-2015  14:39:42.8 (GMT-06:00)","SYS",""
"556","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 01-Jul-2015  20:41:03.8 (GMT-06:00)","SYS",""
"557","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Wed 01-Jul-2015  20:41:12.8 (GMT-06:00)","SYS",""
"558","Slot 1","Raising","Major","Demodulator not locked","Wed 01-Jul-2015  20:47:02.7 (GMT-06:00)","SYS",""
"559","Slot 1","Raising","Critical","Traffic path down","Wed 01-Jul-2015  20:47:02.8 (GMT-06:00)","SYS",""
"560","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Wed 01-Jul-2015  20:47:02.8 (GMT-06:00)","SYS",""
"561","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Wed 01-Jul-2015  20:47:02.8 (GMT-06:00)","SYS",""
